file,status,error_count,first_error
ClonePair1.java,PASS,0,""
ClonePair10.java,PASS,0,""
ClonePair100.java,PASS,0,""
ClonePair1000.java,PASS,0,""
ClonePair10000.java,PASS,0,""
ClonePair10001.java,PASS,0,""
ClonePair10002.java,PASS,0,""
ClonePair10003.java,PASS,0,""
ClonePair10004.java,PASS,0,""
ClonePair10005.java,PASS,0,""
ClonePair10006.java,PASS,0,""
ClonePair10007.java,PASS,0,""
ClonePair10008.java,PASS,0,""
ClonePair10009.java,PASS,0,""
ClonePair1001.java,PASS,0,""
ClonePair10010.java,PASS,0,""
ClonePair10011.java,PASS,0,""
ClonePair10012.java,PASS,0,""
ClonePair10013.java,PASS,0,""
ClonePair10014.java,PASS,0,""
ClonePair10015.java,PASS,0,""
ClonePair10016.java,PASS,0,""
ClonePair10017.java,PASS,0,""
ClonePair10018.java,PASS,0,""
ClonePair10019.java,PASS,0,""
ClonePair1002.java,PASS,0,""
ClonePair10020.java,PASS,0,""
ClonePair10021.java,PASS,0,""
ClonePair10022.java,PASS,0,""
ClonePair10023.java,PASS,0,""
ClonePair10024.java,PASS,0,""
ClonePair10025.java,PASS,0,""
ClonePair10026.java,PASS,0,""
ClonePair10027.java,PASS,0,""
ClonePair10028.java,PASS,0,""
ClonePair10029.java,PASS,0,""
ClonePair1003.java,PASS,0,""
ClonePair10030.java,PASS,0,""
ClonePair10031.java,PASS,0,""
ClonePair10032.java,PASS,0,""
ClonePair10033.java,PASS,0,""
ClonePair10034.java,PASS,0,""
ClonePair10035.java,PASS,0,""
ClonePair10036.java,PASS,0,""
ClonePair10037.java,PASS,0,""
ClonePair10038.java,PASS,0,""
ClonePair10039.java,PASS,0,""
ClonePair1004.java,PASS,0,""
ClonePair10040.java,PASS,0,""
ClonePair10041.java,PASS,0,""
ClonePair10042.java,PASS,0,""
ClonePair10043.java,PASS,0,""
ClonePair10044.java,PASS,0,""
ClonePair10045.java,PASS,0,""
ClonePair10046.java,PASS,0,""
ClonePair10047.java,PASS,0,""
ClonePair10048.java,PASS,0,""
ClonePair10049.java,PASS,0,""
ClonePair1005.java,PASS,0,""
ClonePair10050.java,PASS,0,""
ClonePair10051.java,PASS,0,""
ClonePair10052.java,PASS,0,""
ClonePair10053.java,PASS,0,""
ClonePair10054.java,PASS,0,""
ClonePair10055.java,PASS,0,""
ClonePair10056.java,PASS,0,""
ClonePair10057.java,PASS,0,""
ClonePair10058.java,PASS,0,""
ClonePair10059.java,PASS,0,""
ClonePair1006.java,PASS,0,""
ClonePair10060.java,PASS,0,""
ClonePair10061.java,PASS,0,""
ClonePair10062.java,PASS,0,""
ClonePair10063.java,PASS,0,""
ClonePair10064.java,PASS,0,""
ClonePair10065.java,PASS,0,""
ClonePair10066.java,PASS,0,""
ClonePair10067.java,PASS,0,""
ClonePair10068.java,PASS,0,""
ClonePair10069.java,PASS,0,""
ClonePair1007.java,PASS,0,""
ClonePair10070.java,PASS,0,""
ClonePair10071.java,PASS,0,""
ClonePair10072.java,PASS,0,""
ClonePair10073.java,PASS,0,""
ClonePair10074.java,PASS,0,""
ClonePair10075.java,PASS,0,""
ClonePair10076.java,PASS,0,""
ClonePair10077.java,PASS,0,""
ClonePair10078.java,PASS,0,""
ClonePair10079.java,PASS,0,""
ClonePair1008.java,PASS,0,""
ClonePair10080.java,PASS,0,""
ClonePair10081.java,PASS,0,""
ClonePair10082.java,PASS,0,""
ClonePair10083.java,PASS,0,""
ClonePair10084.java,PASS,0,""
ClonePair10085.java,PASS,0,""
ClonePair10086.java,PASS,0,""
ClonePair10087.java,PASS,0,""
ClonePair10088.java,PASS,0,""
ClonePair10089.java,PASS,0,""
ClonePair1009.java,PASS,0,""
ClonePair10090.java,PASS,0,""
ClonePair10091.java,PASS,0,""
ClonePair10092.java,PASS,0,""
ClonePair10093.java,PASS,0,""
ClonePair10094.java,PASS,0,""
ClonePair10095.java,PASS,0,""
ClonePair10096.java,PASS,0,""
ClonePair10097.java,PASS,0,""
ClonePair10098.java,PASS,0,""
ClonePair10099.java,PASS,0,""
ClonePair101.java,PASS,0,""
ClonePair1010.java,PASS,0,""
ClonePair10100.java,PASS,0,""
ClonePair10101.java,PASS,0,""
ClonePair10102.java,PASS,0,""
ClonePair10103.java,PASS,0,""
ClonePair10104.java,PASS,0,""
ClonePair10105.java,PASS,0,""
ClonePair10106.java,PASS,0,""
ClonePair10107.java,PASS,0,""
ClonePair10108.java,PASS,0,""
ClonePair10109.java,PASS,0,""
