class_id,status,elapsed_ms,candidate_count,detail
5151,no_counterexample_found,1836,36,
5152,no_counterexample_found,1734,36,
5153,difference_test_written,1803,36,candidate_index=11;method1=OK;method2=OK
5154,no_counterexample_found,1720,36,
5155,no_counterexample_found,1745,36,
5156,no_counterexample_found,2060,36,
5157,no_counterexample_found,1590,36,
5158,no_counterexample_found,1589,36,
5159,no_counterexample_found,1527,36,
5160,no_counterexample_found,1541,36,
5161,no_counterexample_found,1542,36,
5162,difference_test_written,1520,10,candidate_index=5;method1=OK;method2=OK
5163,no_counterexample_found,1592,36,
5164,no_counterexample_found,1630,36,
5165,difference_test_written,1966,36,candidate_index=11;method1=OK;method2=OK
5166,no_counterexample_found,1725,36,
5167,no_counterexample_found,1589,36,
5168,no_counterexample_found,1606,36,
5169,no_counterexample_found,1574,36,
5170,no_counterexample_found,1578,36,
5171,difference_test_written,1492,10,candidate_index=6;method1=OK;method2=OK
5172,difference_test_written,1528,36,candidate_index=11;method1=OK;method2=OK
5173,difference_test_written,1586,36,candidate_index=11;method1=OK;method2=OK
5174,no_counterexample_found,1737,36,
5175,no_counterexample_found,2014,60,
5176,no_counterexample_found,1466,4,
5177,no_counterexample_found,1452,10,
5178,no_counterexample_found,1454,10,
5179,no_counterexample_found,1459,10,
5180,no_counterexample_found,1493,10,
5181,no_counterexample_found,1485,10,
5182,no_counterexample_found,1446,10,
5183,no_counterexample_found,1477,10,
5184,no_counterexample_found,1652,10,
5185,no_counterexample_found,1428,10,
5186,no_counterexample_found,1459,10,
5187,no_counterexample_found,1438,10,
5188,no_counterexample_found,1492,10,
5189,no_counterexample_found,1577,10,
5190,no_counterexample_found,1667,10,
5191,no_counterexample_found,1431,10,
5192,no_counterexample_found,1611,63,
5193,no_counterexample_found,1587,10,
5194,no_counterexample_found,1676,63,
5195,no_counterexample_found,1629,10,
5196,no_counterexample_found,1821,63,
5197,difference_test_written,1861,63,candidate_index=13;method1=OK;method2=OK
5198,no_counterexample_found,1610,10,
5199,no_counterexample_found,1780,63,
5200,no_counterexample_found,1449,10,
5201,no_counterexample_found,1431,10,
5202,no_counterexample_found,1556,63,
5203,no_counterexample_found,1389,10,
5204,no_counterexample_found,1383,10,
5205,difference_test_written,1544,63,candidate_index=13;method1=OK;method2=OK
5206,no_counterexample_found,2265,63,
5207,no_counterexample_found,1544,10,
5208,no_counterexample_found,1471,10,
5209,no_counterexample_found,1492,10,
5210,no_counterexample_found,1468,10,
5211,no_counterexample_found,1444,10,
5212,no_counterexample_found,1482,10,
5213,no_counterexample_found,1410,10,
5214,no_counterexample_found,1418,10,
5215,no_counterexample_found,1413,10,
5216,no_counterexample_found,1457,10,
5217,no_counterexample_found,1474,10,
5218,no_counterexample_found,1486,10,
5219,no_counterexample_found,1618,10,
5220,no_counterexample_found,1411,10,
5221,no_counterexample_found,1720,100,
5222,no_counterexample_found,1373,10,
5223,no_counterexample_found,1649,100,
5224,no_counterexample_found,1639,100,
5225,no_counterexample_found,1716,100,
5226,no_counterexample_found,1719,100,
5227,no_counterexample_found,1517,10,
5228,no_counterexample_found,1501,10,
5229,no_counterexample_found,1396,10,
5230,no_counterexample_found,1391,10,
5231,no_counterexample_found,1633,100,
5232,no_counterexample_found,1341,10,
5233,no_counterexample_found,1382,10,
5234,no_counterexample_found,1540,10,
5235,no_counterexample_found,1703,10,
5236,no_counterexample_found,1807,10,
5237,no_counterexample_found,1540,10,
5238,no_counterexample_found,1648,10,
5239,difference_test_written,1677,35,candidate_index=4;method1=OK;method2=OK
5240,no_counterexample_found,1601,10,
5241,no_counterexample_found,1499,10,
5242,no_counterexample_found,1707,81,
5243,no_counterexample_found,1494,10,
5244,no_counterexample_found,1320,10,
5245,difference_test_written,2107,81,candidate_index=17;method1=EX;method2=OK
5246,no_counterexample_found,1956,68,
5247,no_counterexample_found,2304,81,
5248,no_counterexample_found,1533,10,
5249,no_counterexample_found,1562,10,
5250,no_counterexample_found,1616,10,
5251,no_counterexample_found,1908,81,
5252,no_counterexample_found,1831,81,
5253,no_counterexample_found,2005,10,
5254,difference_test_written,1748,81,candidate_index=15;method1=OK;method2=OK
5255,no_counterexample_found,1443,10,
5256,no_counterexample_found,1500,10,
5257,no_counterexample_found,1432,10,
5258,difference_test_written,1865,81,candidate_index=45;method1=OK;method2=OK
5259,no_counterexample_found,1521,10,
5260,no_counterexample_found,1441,10,
5261,difference_test_written,1722,81,candidate_index=45;method1=OK;method2=OK
5262,no_counterexample_found,1632,36,
5263,no_counterexample_found,1979,81,
5264,no_counterexample_found,1696,81,
5265,no_counterexample_found,1457,10,
5266,no_counterexample_found,1498,10,
5267,no_counterexample_found,1444,10,
5268,difference_test_written,1586,81,candidate_index=17;method1=EX;method2=OK
5269,no_counterexample_found,1897,81,
5270,no_counterexample_found,1407,10,
5271,no_counterexample_found,1720,81,
5272,no_counterexample_found,1810,81,
5273,no_counterexample_found,1742,81,
5274,no_counterexample_found,1681,81,
5275,no_counterexample_found,1757,81,
5276,no_counterexample_found,1711,81,
5277,no_counterexample_found,1705,90,
5278,no_counterexample_found,1671,81,
5279,no_counterexample_found,1643,81,
5280,no_counterexample_found,1821,81,
5281,difference_test_written,1783,81,candidate_index=17;method1=EX;method2=OK
5282,no_counterexample_found,1672,81,
5283,no_counterexample_found,1842,81,
5284,no_counterexample_found,1650,81,
5285,no_counterexample_found,1624,90,
5286,no_counterexample_found,1576,81,
5287,no_counterexample_found,1557,90,
5288,no_counterexample_found,1596,81,
5289,difference_test_written,1743,90,candidate_index=46;method1=OK;method2=OK
5290,no_counterexample_found,1843,81,
5291,no_counterexample_found,1650,81,
5292,difference_test_written,1643,81,candidate_index=1;method1=EX;method2=OK
5293,no_counterexample_found,1447,10,
5294,no_counterexample_found,1703,90,
5295,no_counterexample_found,1920,90,
5296,no_counterexample_found,1493,10,
5297,difference_test_written,1601,90,candidate_index=45;method1=OK;method2=OK
5298,no_counterexample_found,1498,10,
5299,no_counterexample_found,1970,90,
5300,no_counterexample_found,1734,90,
